"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"221687",0.280149350877196,3.67949957017544,1.36634234424271,0.174483266217386,0.230121258283941,-5.73442393692347
"7466",0.158773070175445,6.77499151754386,1.36614160053558,0.174546082391118,0.230179630659093,-5.73469166700905
"3182",0.0921577192982337,11.5449678070175,1.36592152713899,0.174614966810402,0.230245992167133,-5.73498513318633
"51182",-0.12537652631579,6.81640838596491,-1.36527836414704,0.174816398893036,0.230478710964176,-5.73584252383518
"494143",-0.273897649122801,6.19980259649123,-1.36523936360743,0.174828619111733,0.230478710964176,-5.73589450228541
"23294",-0.112255614035089,8.08922775438596,-1.36478824897854,0.174970015884002,0.230636352537138,-5.73649562643413
"51093",0.0994678070175476,6.16719325438596,1.36473923216951,0.174985384853838,0.230636352537138,-5.73656093126318
"153527",-0.0740125263157889,8.424122,-1.36325330741489,0.175451773532272,0.231226497970071,-5.73853954333869
"5208",-0.083019789473683,5.51942714035088,-1.36305584203203,0.175513822836877,0.231283698976801,-5.73880232518576
"6883",0.135593140350875,7.06290404385965,1.36297329449662,0.175539766561951,0.231293314683922,-5.73891216640057
"56985",-0.112376298245612,6.0774025,-1.36249215225245,0.175691041616548,0.231468048880687,-5.73955226633101
"4799",0.0987219298245643,5.62515978947368,1.36227544302305,0.175759208934256,0.23153326546522,-5.73984049956697
"2850",0.116995491228074,4.83850348245614,1.3611099385957,0.176126168807427,0.231992035455806,-5.74138991289804
"9482",0.0564272280701763,5.61330522807018,1.36064992024354,0.176271165068469,0.232158370302536,-5.74200110472697
"10769",0.279488607456144,6.94860968781579,1.36028307288055,0.176386858735298,0.232286080874046,-5.74248836393401
"7464",-0.1819729122807,6.72016529824561,-1.35980205640809,0.176538645100191,0.232461290214731,-5.74312707374295
"401152",0.139951964912278,8.93714610526316,1.35863675528099,0.176906768600199,0.23292129898279,-5.74467349311568
"56947",-0.0886866140350797,8.15120706140351,-1.35801139024287,0.177104562773747,0.233156972685794,-5.74550285809034
"84557",-0.119068894736839,7.43757451754386,-1.3577811016995,0.177177441831754,0.233228163905453,-5.74580817579172
"154141",-0.190665596491227,7.04327330701754,-1.35683166461591,0.177478147702803,0.233588018261449,-5.74706641485812
"8743",-0.223678666666667,7.90902373684211,-1.35679907199368,0.177488477274601,0.233588018261449,-5.74710959302003
"80210",0.0764217543859642,5.03864578947368,1.356643993846,0.177537632366968,0.233627921905354,-5.74731502420599
"9603",-0.217830508771928,7.3640625,-1.35620190785337,0.1776778166486,0.233787592840696,-5.7479005283587
"79991",-0.0921845789473643,5.50908707894737,-1.35332513159411,0.178592074627938,0.234965644217749,-5.75170605336536
"283738",0.0604888596491264,5.35869993859649,1.35280826601126,0.178756712905665,0.23515730903403,-5.75238895649026
"101927151",0.0966396186140299,5.86125849985088,1.35240840516762,0.178884159863929,0.235300012614229,-5.75291709505403
"79053",-0.132685157894731,8.10519626315789,-1.35142640156266,0.179197442698028,0.235687104148694,-5.75421348963724
"79026",0.081755245614036,5.31452528947368,1.35131060938206,0.17923441041881,0.235710732276815,-5.75436629288036
"286827",-0.216171333333325,5.55390696491228,-1.35097576845058,0.179341343795525,0.235826357303053,-5.75480808885333
"441478",-0.213338684210528,8.77869900877193,-1.35086805997988,0.179375751327125,0.235846599476538,-5.75495017907422
